title,authors,date,tags,link
Fact check: What did Orbán claim in his European election speech?,['Euronews'],2024-05-03,"['Fact checking', 'Hungarian economy', 'TheCube', 'Viktor Orbán', 'Ukraine war', 'European elections 2024']",https://www.euronews.com/my-europe/2024/05/03/viktor-orbans-european-election-speech-fact-checked
Eurovision organiser vows to remove Palestinian flags or symbols,Theo Farrant,2024-05-03,"['Sweden', 'Eurovision song contest', 'Israel', 'Music', 'Palestine', 'Israel Hamas war']",https://www.euronews.com/culture/2024/05/02/eurovision-organiser-vows-to-remove-palestinian-flags-or-symbols
US President Joe Biden calls Japan and India 'xenophobic' countries in latest gaffe,"['Euronews', 'AP']",2024-05-03,"['USA', 'Russia', 'China', 'Japan', 'Joe Biden', 'India']",https://www.euronews.com/2024/05/02/us-president-joe-biden-calls-japan-and-india-xenophobiccountries-in-latest-gaffe
Hybrid war: NATO sounds alarm over 'hostile' Russian activity across Europe,"['Euronews', 'AP']",2024-05-02,"['NATO', 'hybrid war', 'Ukraine war', 'Russia-Ukraine invasion']",https://www.euronews.com/2024/05/02/nato-sounds-alarm-over-russian-hybrid-activity-across-europe
WATCH: Bayer Leverkusen clinch German Bundesliga title,Joshua Askew,2024-05-02,"['Football', 'Leverkusen', 'Bundesliga']",https://www.euronews.com/2024/05/02/watch-bayer-leverkusen-clinch-german-bundesliga-title
The Greens' Reintke vows to keep EU on track towards climate neutrality amid right-wing backlash,James Thomas,2024-05-03,"['European Parliament', 'Greens', 'European elections 2024', 'Green Deal']",https://www.euronews.com/my-europe/2024/05/02/the-greens-reintke-vows-to-keep-eu-on-track-towards-climate-neutrality-amid-right-wing-bac
European elections: What do voters want? What have candidates pledged?,Mared Gwyn Jones,2024-05-02,"['EU agenda', 'EU membership', 'European elections 2024']",https://www.euronews.com/my-europe/2024/05/02/european-elections-what-do-voters-want-what-have-candidates-pledged
"EU Policy. New EU fiscal rules in force, what are the next steps?",Eleanor Butler,2024-05-03,"['Fiscal reform', 'European Commission', 'EU Policy']",https://www.euronews.com/business/2024/05/02/new-eu-fiscal-rules-in-force-what-are-the-next-steps
"Battery costs have dropped 90% in under 15 years giving renewables a boost, new IEA report reveals",['Euronews Green'],2024-05-02,"['Solar energy', 'energy transition', 'renewable energy', 'electricity', 'COP28', 'battery']",https://www.euronews.com/green/2024/05/02/battery-costs-have-dropped-90-in-under-15-years-giving-renewables-a-boost-new-iea-report-r
How exactly will the EU’s new Entry-Exit System work? All your questions answered,Saskia O'Donoghue,2024-05-03,"['Brexit', 'United Kingdom', 'European Union', 'international travel', 'Schengen Area', 'digital visa']",https://www.euronews.com/travel/2024/05/02/how-exactly-will-the-eus-new-entry-exit-system-work-all-your-questions-answered
Euroviews. It’s time to score a radical climate goal — by slapping sport with green legislation,['Isabel Schatzschneider'],2024-05-02,"['Climate emergency', 'Euroviews', 'Paris Olympics', 'Sport', 'euro 2024', 'Sustainability']",https://www.euronews.com/green/2024/05/02/its-time-to-score-a-radical-climate-goal-by-slapping-sport-with-green-legislation
Copernicus: Switzerland says it can’t afford to take part in EU climate change monitoring programme,['Isabel Schatzschneider'],2024-05-02,"['European Space Agency', 'Research', 'satellite', 'Planet Earth', 'Weather', 'climate change']",https://www.euronews.com/green/2024/05/02/copernicus-switzerland-says-it-cant-afford-to-take-part-in-eu-climate-change-monitoring-pr
Flutter takes a punt with move from London to New York listing,Paula Soler,2024-05-02,"['stock exchange', 'Shares', 'Stock market activity']",https://www.euronews.com/business/2024/05/02/flutter-takes-a-punt-with-move-from-london-to-new-york-listing
Meet the woman breaking down barriers in space industry leadership at Azercosmos,Euronews,2024-05-02,"['Gender equality', 'Azerbaijan', 'Space research', 'Space science']",https://www.euronews.com/2024/05/02/meet-the-woman-breaking-down-barriers-in-space-industry-leadership-at-azercosmos
‘Remain vigilant’: Europe’s most heavily pickpocketed tourist spots revealed,Saskia O'Donoghue,2024-05-02,"['Local travel guides', 'Tourism', 'international travel', 'pickpocketing', 'Crime', 'theft']",https://www.euronews.com/travel/2024/05/02/remain-vigilant-europes-most-heavily-pickpocketed-tourist-spots-revealed
‘Summer is coming and the torment will begin’: Greece readies itself for another record fire season,"['Derek Gatopoulos', 'AP']",2024-05-02,"['Wildfires', 'Fires', 'Extreme weather', 'Greece', 'Rhodes', 'Heatwave']",https://www.euronews.com/green/2024/05/02/summer-is-coming-and-the-torment-will-begin-greece-readies-itself-for-another-record-fire-
EU Policy. Green leader sees ‘huge danger’ to climate policy as elections loom,"['Derek Gatopoulos', 'AP']",2024-05-02,"['Climate emergency', 'EU Policy', 'Greens', 'Inflation Reduction Act', 'Green Deal']",https://www.euronews.com/green/2024/05/02/green-leader-sees-huge-danger-to-climate-policy-as-elections-loom
Losses balloon at luxury car maker Aston Martin as SUV sales plunge,Indrabati Lahiri,2024-05-02,"['Car sales', 'Electric cars', 'luxury goods']",https://www.euronews.com/business/2024/05/02/losses-balloon-at-luxury-car-maker-aston-martin-as-suv-sales-plunge
Russian missiles strike Odesa again as situation worsens on eastern front,['Gorkem Sifael'],2024-05-02,"['missile attack', 'chemical weapon', 'Ukraine war', 'Russia-Ukraine invasion']",https://www.euronews.com/2024/05/02/russian-missiles-strike-odesa-again-as-situation-worsens-on-eastern-front
Why US experts are now recommending breast cancer screenings for women in their 40s,Gerardo Fortuna,2024-05-03,"['Breast cancer', 'World Health Organization', 'Cancer', 'Women', 'hospital']",https://www.euronews.com/health/2024/05/02/why-us-experts-are-now-recommending-breast-cancer-screenings-for-women-in-their-40s
Novo Nordisk plans quantum computing hub in Denmark,['Euronews'],2024-05-02,"['Investment', 'healthcare', 'New technologies', 'quantum computing', 'Novo Nordisk']",https://www.euronews.com/business/2024/05/02/novo-nordisk-looks-to-quantum-computing-hub-in-denmark
Co-op Live calamity: How the grand opening of the UK's biggest indoor venue fell apart,['AP'],2024-05-02,"['United Kingdom', 'Comedy', 'Manchester', 'Music']",https://www.euronews.com/culture/2024/05/02/co-op-live-calamity-how-the-grand-opening-of-the-uks-biggest-indoor-venue-fell-apart
Finance minister says France will 'fight' TotalEnergies’ New York listing,Eleanor Butler,2024-05-02,"['stock exchange', 'European markets', 'TotalEnergies', 'Wall Street', 'bruno le maire']",https://www.euronews.com/business/2024/05/02/finance-minister-says-france-will-fight-totalenergies-new-york-listing
"Euroviews. In the upcoming European elections, peace and security matter the most",['Alexander Borum'],2024-05-02,"['European Union', 'Defence', 'Euroviews', 'Security', 'Ukraine war', 'European elections 2024']",https://www.euronews.com/my-europe/2024/05/02/in-the-upcoming-european-elections-peace-and-security-matter-the-most
"Meet Ida Tin, the entrepreneur who coined the term 'femtech' | Europe's Health Tech Pioneers",Lauren Chadwick,2024-05-03,"[""Women's Health"", 'healthcare', 'Femtech']",https://www.euronews.com/next/2024/05/02/meet-ida-tin-the-entrepreneur-who-coined-the-term-femtech-europes-health-tech-pioneers
Norway's Supreme Court to consider sex offender case calling for social media to be a right,['AP & Euronews'],2024-05-02,"['Snapchat', 'Norway', 'Supreme Court']",https://www.euronews.com/next/2024/05/02/norways-supreme-court-to-consider-sex-offender-case-calling-for-social-media-to-be-a-right
Eurovision: Israel contestant Eden Golan warned to stay in her hotel room,Jonny Walfisz,2024-05-02,"['Terrorism threat', 'Eurovision song contest', 'Israel', 'Protests', 'Music', 'Israel Hamas war']",https://www.euronews.com/culture/2024/05/02/eurovision-israel-contestant-eden-golan-warned-to-stay-in-her-hotel-room
Novo Nordisk beats Q1 estimates as weight-loss drugs drive growth,Eleanor Butler,2024-05-02,"['Diabetes', 'weight loss', 'Denmark']",https://www.euronews.com/business/2024/05/02/novo-nordisk-beats-q1-estimates-as-weight-loss-drugs-drive-growth
Harvey Weinstein: Prosecutors seek retrial after rape conviction overturned,David Mouriquand,2024-05-02,"['Harvey Weinstein', '#MeToo', 'sexual assault', 'Sexual harassment', 'United States', 'Trial']",https://www.euronews.com/culture/2024/05/02/harvey-weinstein-prosecutors-seek-retrial-after-rape-conviction-overturned
British Museum explores final decades of Michelangelo's life in new exhibition,['AP'],2024-05-02,"['United Kingdom', 'Michelangelo', 'Art', 'Culture', 'Cultural Heritage', 'London']",https://www.euronews.com/culture/2024/05/02/british-museum-explores-final-decades-of-michelangelos-life-in-new-exhibition
OnlyFans faces probe over claims children could access adult content,['Piero Cingari'],2024-05-02,"['sex', 'online media', 'pornography']",https://www.euronews.com/business/2024/05/02/onlyfans-faces-probe-over-claims-children-could-access-adult-content
Biden on pro-Palestine protests: ‘Dissent must never lead to disorder’,"['Euronews', 'AP']",2024-05-02,"['Protest', 'Palestine', 'Israel Hamas war']",https://www.euronews.com/2024/05/02/pro-palestinian-protesters-battle-with-police-on-ucla-campus
EU unveils €1-billion aid package for Lebanon in bid to curb refugee flows,['Alexander Borum'],2024-05-02,"['Cyprus', 'European Commission president', 'European Commission', 'Ursula von der Leyen', 'Lebanon']",https://www.euronews.com/my-europe/2024/05/02/eu-unveils-1-billion-aid-package-for-lebanon-in-bid-to-curb-refugee-flows
New form of mpox that may spread more easily found amid Congo's outbreak,['AP & Euronews'],2024-05-02,"['Health', 'sexual health', 'outbreak', 'Democratic Republic of Congo']",https://www.euronews.com/health/2024/05/02/new-form-of-mpox-that-may-spread-more-easily-found-amid-congos-outbreak
OECD economic outlook: Steady global growth expected for 2024 and 2025,['Angela Barnes'],2024-05-02,"['Retirement', 'savings', 'Pensions', 'Pensioners']",https://www.euronews.com/business/2024/05/02/oecd-economic-outlook-steady-global-growth-expected-for-2024-and-2025
Czech Republic celebrates two decades of European Union membership,"['Angela Skujins', 'EBU']",2024-05-02,"['European Union', 'Czech politics', ""Russia's invasion of Ukraine"", 'Czech Republic', 'EU membership']",https://www.euronews.com/2024/05/02/czech-republic-celebrates-two-decades-of-european-union-membership
FKA Twigs develops deepfake ‘AI Twigs’ to interact with fans,['AP'],2024-05-02,"['deepfake', 'United Kingdom', 'Artificial intelligence', 'Music', 'Law', 'United States']",https://www.euronews.com/culture/2024/05/02/fka-twigs-develops-deepfake-ai-twigs-to-interact-with-fans
"Final preparations for Ariane 6, Europe's newest rocket, underway ahead of inaugural flight",['Marta Rodriguez'],2024-05-02,"['Technology', 'Social Media', 'Children']",https://www.euronews.com/next/2024/05/02/final-preparations-for-ariane-6-europes-newest-rocket-underway-ahead-of-inaugural-flight
Grammy-winning ‘Peter Gunn’ guitarist Duane Eddy dies aged 86,David Mouriquand,2024-05-02,"['rock music', 'Guitar', 'Obituary', 'Music', 'United States']",https://www.euronews.com/culture/2024/05/02/grammy-winning-peter-gunn-guitarist-duane-eddy-dies-aged-86
The ick-effect and lack of investment: the challenges of the European seaweed industry,['Jeremy Wilks'],2024-05-02,"['oil industry', 'Big Oil', 'ExxonMobil', 'Democrats', 'Climate crisis', 'Global warming and climate change']",https://www.euronews.com/green/2024/05/02/the-ick-effect-and-lack-of-investment-the-challenges-of-the-european-seaweed-industry
Know your Swift! Class announced for parents needing to keep up,David Mouriquand,2024-05-02,"['Scotland', 'Glasgow', 'college student', 'Music', 'parent', 'Taylor Swift']",https://www.euronews.com/culture/2024/05/02/know-your-swift-class-announced-for-parents-needing-to-keep-up
ABBA exhibition opens in Malmö ahead of Eurovision Song Contest: But will the band be performing?,['AP'],2024-05-02,"['Video', 'Sweden', 'Abba', 'Eurovision song contest', 'Malmö', 'Music']",https://www.euronews.com/culture/2024/05/02/abba-exhibition-opens-in-malmo-ahead-of-eurovision-song-contest-but-will-the-band-be-perfo
What is the 30:30:30:10 rule when it comes to finances and how should you use it?,['Angela Barnes'],2024-05-02,"['Retirement', 'savings', 'Pensions', 'Pensioners']",https://www.euronews.com/business/2024/05/02/what-is-the-303030-10-rule-when-it-comes-to-finances-and-how-should-you-use-it
