Day Index,Pageviews,z-score,baseline_iso_forest,baseline_lof
2022-04-24,8511,-0.9689938551099612,1,1
2022-04-25,16206,0.7096211190168176,1,1
2022-04-26,16679,0.8128030401034928,1,1
2022-04-27,17886,1.076102360931436,1,1
2022-04-28,17867,1.0719576326002587,1,1
2022-04-29,15619,0.5815708279430789,1,1
2022-04-30,7639,-1.1592150711513585,1,1
2022-05-01,8508,-0.9696482858990945,1,1
2022-05-02,16206,0.7096211190168176,1,1
2022-05-03,15543,0.56499191461837,1,1
2022-05-04,15421,0.5383783958602846,1,1
2022-05-05,17379,0.9655035575679172,1,1
2022-05-06,16029,0.6710097024579561,1,1
2022-05-07,9937,-0.657921086675291,1,1
2022-05-08,8960,-0.8710473803363519,1,1
2022-05-09,15985,0.661411384217335,1,1
2022-05-10,17506,0.9932077943078914,1,1
2022-05-11,19250,1.3736502263906858,1,1
2022-05-12,18520,1.2144054010349288,1,1
2022-05-13,15418,0.5377239650711514,1,1
2022-05-14,8414,-0.9901537839586029,1,1
2022-05-15,9989,-0.6465776196636481,1,1
2022-05-16,15589,0.5750265200517465,1,1
2022-05-17,16112,0.6891156209573092,1,1
2022-05-18,14774,0.397239489003881,1,1
2022-05-19,18654,1.2436366429495471,1,1
2022-05-20,15112,0.47097202457956017,1,1
2022-05-21,7803,-1.1234395213454074,1,1
2022-05-22,8449,-0.9825187580853816,1,1
2022-05-23,15331,0.5187454721862872,1,1
2022-05-24,17009,0.88479042690815,1,1
2022-05-25,17390,0.9679031371280724,1,1
2022-05-26,15973,0.6587936610608021,1,1
2022-05-27,13890,0.20440054980595082,1,1
2022-05-28,6951,-1.3092978654592495,1,1
2022-05-29,7946,-1.0922449870633895,1,1
2022-05-30,9850,-0.6768995795601552,1,1
2022-05-31,15250,0.5010758408796895,1,1
